"province","assembly","constituency_number","count"
"Punjab","Provincial Assembly","PP-54",23
"Punjab","Provincial Assembly","PP-55",27
"Punjab","Provincial Assembly","PP-56",35
"Punjab","Provincial Assembly","PP-57",35
"Punjab","Provincial Assembly","PP-58",35
"Punjab","Provincial Assembly","PP-59",27
"Punjab","Provincial Assembly","PP-6",33
"Punjab","Provincial Assembly","PP-60",19
"Punjab","Provincial Assembly","PP-61",18
"Punjab","Provincial Assembly","PP-62",25
"Punjab","Provincial Assembly","PP-63",19
"Punjab","Provincial Assembly","PP-64",22
"Punjab","Provincial Assembly","PP-65",21
"Punjab","Provincial Assembly","PP-66",19
"Punjab","Provincial Assembly","PP-67",18
"Punjab","Provincial Assembly","PP-68",31
"Punjab","Provincial Assembly","PP-69",17
"Punjab","Provincial Assembly","PP-7",15
"Punjab","Provincial Assembly","PP-70",15
"Punjab","Provincial Assembly","PP-71",18
"Punjab","Provincial Assembly","PP-72",15
"Punjab","Provincial Assembly","PP-73",25
"Punjab","Provincial Assembly","PP-74",10
"Punjab","Provincial Assembly","PP-75",16
"Punjab","Provincial Assembly","PP-76",21
"Punjab","Provincial Assembly","PP-77",38
"Punjab","Provincial Assembly","PP-78",28
"Punjab","Provincial Assembly","PP-79",25
"Punjab","Provincial Assembly","PP-8",31
"Punjab","Provincial Assembly","PP-80",18
"Punjab","Provincial Assembly","PP-81",9
"Punjab","Provincial Assembly","PP-82",15
"Punjab","Provincial Assembly","PP-83",13
"Punjab","Provincial Assembly","PP-84",5
"Punjab","Provincial Assembly","PP-85",14
"Punjab","Provincial Assembly","PP-86",15
"Punjab","Provincial Assembly","PP-87",16
"Punjab","Provincial Assembly","PP-88",15
"Punjab","Provincial Assembly","PP-89",15
"Punjab","Provincial Assembly","PP-9",25
"Punjab","Provincial Assembly","PP-90",24
"Punjab","Provincial Assembly","PP-91",10
"Punjab","Provincial Assembly","PP-92",22
"Punjab","Provincial Assembly","PP-93",16
"Punjab","Provincial Assembly","PP-94",20
"Punjab","Provincial Assembly","PP-95",12
"Punjab","Provincial Assembly","PP-96",19
"Punjab","Provincial Assembly","PP-97",20
"Punjab","Provincial Assembly","PP-98",28
"Punjab","Provincial Assembly","PP-99",28
"Punjab","Provincial Assembly","Womens List",668
"Sindh","National Assembly","NA-196",15
"Sindh","National Assembly","NA-197",18
"Sindh","National Assembly","NA-198",15
"Sindh","National Assembly","NA-199",12
"Sindh","National Assembly","NA-200",23
"Sindh","National Assembly","NA-201",15
"Sindh","National Assembly","NA-202",12
"Sindh","National Assembly","NA-203",13
"Sindh","National Assembly","NA-204",16
"Sindh","National Assembly","NA-205",11
"Sindh","National Assembly","NA-206",20
"Sindh","National Assembly","NA-207",4
"Sindh","National Assembly","NA-208",14
"Sindh","National Assembly","NA-209",10
"Sindh","National Assembly","NA-210",14
"Sindh","National Assembly","NA-211",24
"Sindh","National Assembly","NA-212",15
"Sindh","National Assembly","NA-213",18
"Sindh","National Assembly","NA-214",23
"Sindh","National Assembly","NA-215",17
"Sindh","National Assembly","NA-216",6
"Sindh","National Assembly","NA-217",21
"Sindh","National Assembly","NA-218",20
"Sindh","National Assembly","NA-219",7
"Sindh","National Assembly","NA-220",14
"Sindh","National Assembly","NA-221",9
"Sindh","National Assembly","NA-222",28
"Sindh","National Assembly","NA-223",21
"Sindh","National Assembly","NA-224",21
"Sindh","National Assembly","NA-225",17
"Sindh","National Assembly","NA-226",30
"Sindh","National Assembly","NA-227",29
"Sindh","National Assembly","NA-228",11
"Sindh","National Assembly","NA-229",13
"Sindh","National Assembly","NA-230",11
"Sindh","National Assembly","NA-231",12
"Sindh","National Assembly","NA-232",18
"Sindh","National Assembly","NA-233",13
"Sindh","National Assembly","NA-234",14
"Sindh","National Assembly","NA-235",9
"Sindh","National Assembly","NA-236",16
"Sindh","National Assembly","NA-237",27
"Sindh","National Assembly","NA-238",33
"Sindh","National Assembly","NA-239",32
"Sindh","National Assembly","NA-240",24
"Sindh","National Assembly","NA-241",28
"Sindh","National Assembly","NA-242",31
"Sindh","National Assembly","NA-243",25
"Sindh","National Assembly","NA-244",30
"Sindh","National Assembly","NA-245",29
"Sindh","National Assembly","NA-246",26
"Sindh","National Assembly","NA-247",27
"Sindh","National Assembly","NA-248",23
"Sindh","National Assembly","NA-249",26
"Sindh","National Assembly","NA-250",31
"Sindh","National Assembly","NA-251",22
"Sindh","National Assembly","NA-252",20
"Sindh","National Assembly","NA-253",25
"Sindh","National Assembly","NA-254",21
"Sindh","National Assembly","NA-255",29
"Sindh","National Assembly","NA-256",23
"Sindh","National Assembly","Womens List",178
"Sindh","Provincial Assembly","Minority List",56
"Sindh","Provincial Assembly","PS-1",17
"Sindh","Provincial Assembly","PS-10",14
"Sindh","Provincial Assembly","PS-100",33
"Sindh","Provincial Assembly","PS-101",24
"Sindh","Provincial Assembly","PS-102",21
"Sindh","Provincial Assembly","PS-103",41
"Sindh","Provincial Assembly","PS-104",29
"Sindh","Provincial Assembly","PS-105",35
"Sindh","Provincial Assembly","PS-106",42
"Sindh","Provincial Assembly","PS-107",36
"Sindh","Provincial Assembly","PS-108",14
"Sindh","Provincial Assembly","PS-109",22
"Sindh","Provincial Assembly","PS-11",27
"Sindh","Provincial Assembly","PS-110",38
"Sindh","Provincial Assembly","PS-111",21
"Sindh","Provincial Assembly","PS-112",21
"Sindh","Provincial Assembly","PS-113",16
"Sindh","Provincial Assembly","PS-114",34
"Sindh","Provincial Assembly","PS-115",36
"Sindh","Provincial Assembly","PS-116",30
"Sindh","Provincial Assembly","PS-117",34
"Sindh","Provincial Assembly","PS-118",22
"Sindh","Provincial Assembly","PS-119",37
"Sindh","Provincial Assembly","PS-12",23
"Sindh","Provincial Assembly","PS-120",32
"Sindh","Provincial Assembly","PS-121",23
"Sindh","Provincial Assembly","PS-122",28
"Sindh","Provincial Assembly","PS-123",34
"Sindh","Provincial Assembly","PS-124",30
"Sindh","Provincial Assembly","PS-125",31
"Sindh","Provincial Assembly","PS-126",27
"Sindh","Provincial Assembly","PS-127",32
"Sindh","Provincial Assembly","PS-128",28
"Sindh","Provincial Assembly","PS-129",28
"Sindh","Provincial Assembly","PS-13",21
"Sindh","Provincial Assembly","PS-130",33
"Sindh","Provincial Assembly","PS-14",14
"Sindh","Provincial Assembly","PS-15",21
"Sindh","Provincial Assembly","PS-16",21
"Sindh","Provincial Assembly","PS-17",31
"Sindh","Provincial Assembly","PS-18",1
"Sindh","Provincial Assembly","PS-19",15
"Sindh","Provincial Assembly","PS-2",16
"Sindh","Provincial Assembly","PS-20",8
"Sindh","Provincial Assembly","PS-21",19
"Sindh","Provincial Assembly","PS-22",19
"Sindh","Provincial Assembly","PS-23",22
"Sindh","Provincial Assembly","PS-24",47
"Sindh","Provincial Assembly","PS-25",25
"Sindh","Provincial Assembly","PS-26",17
"Sindh","Provincial Assembly","PS-27",3
"Sindh","Provincial Assembly","PS-28",19
"Sindh","Provincial Assembly","PS-29",6
"Sindh","Provincial Assembly","PS-3",9
"Sindh","Provincial Assembly","PS-30",28
"Sindh","Provincial Assembly","PS-31",11
"Sindh","Provincial Assembly","PS-32",15
"Sindh","Provincial Assembly","PS-33",18
"Sindh","Provincial Assembly","PS-34",27
"Sindh","Provincial Assembly","PS-35",24
"Sindh","Provincial Assembly","PS-36",15
"Sindh","Provincial Assembly","PS-37",22
"Sindh","Provincial Assembly","PS-38",32
"Sindh","Provincial Assembly","PS-39",12
"Sindh","Provincial Assembly","PS-4",14
"Sindh","Provincial Assembly","PS-40",20
"Sindh","Provincial Assembly","PS-41",17
"Sindh","Provincial Assembly","PS-42",12
"Sindh","Provincial Assembly","PS-43",17
"Sindh","Provincial Assembly","PS-44",30
"Sindh","Provincial Assembly","PS-45",23
"Sindh","Provincial Assembly","PS-46",20
"Sindh","Provincial Assembly","PS-47",28
"Sindh","Provincial Assembly","PS-48",20
"Sindh","Provincial Assembly","PS-49",13
"Sindh","Provincial Assembly","PS-5",16
"Sindh","Provincial Assembly","PS-50",9
"Sindh","Provincial Assembly","PS-51",18
"Sindh","Provincial Assembly","PS-52",18
"Sindh","Provincial Assembly","PS-53",16
"Sindh","Provincial Assembly","PS-54",17
"Sindh","Provincial Assembly","PS-55",23
"Sindh","Provincial Assembly","PS-56",18
"Sindh","Provincial Assembly","PS-57",30
"Sindh","Provincial Assembly","PS-58",16
"Sindh","Provincial Assembly","PS-59",25
"Sindh","Provincial Assembly","PS-6",2
"Sindh","Provincial Assembly","PS-60",31
"Sindh","Provincial Assembly","PS-61",22
"Sindh","Provincial Assembly","PS-62",14
"Sindh","Provincial Assembly","PS-63",20
"Sindh","Provincial Assembly","PS-64",44
"Sindh","Provincial Assembly","PS-65",51
"Sindh","Provincial Assembly","PS-66",50
"Sindh","Provincial Assembly","PS-67",45
"Sindh","Provincial Assembly","PS-68",9
"Sindh","Provincial Assembly","PS-69",6
"Sindh","Provincial Assembly","PS-7",12
"Sindh","Provincial Assembly","PS-70",14
"Sindh","Provincial Assembly","PS-71",19
"Sindh","Provincial Assembly","PS-72",7
"Sindh","Provincial Assembly","PS-73",21
"Sindh","Provincial Assembly","PS-74",16
"Sindh","Provincial Assembly","PS-75",10
"Sindh","Provincial Assembly","PS-76",12
"Sindh","Provincial Assembly","PS-77",12
"Sindh","Provincial Assembly","PS-78",7
"Sindh","Provincial Assembly","PS-79",8
"Sindh","Provincial Assembly","PS-8",15
"Sindh","Provincial Assembly","PS-80",14
"Sindh","Provincial Assembly","PS-81",1
"Sindh","Provincial Assembly","PS-82",20
"Sindh","Provincial Assembly","PS-83",18
"Sindh","Provincial Assembly","PS-84",33
"Sindh","Provincial Assembly","PS-85",27
"Sindh","Provincial Assembly","PS-86",13
"Sindh","Provincial Assembly","PS-87",33
"Sindh","Provincial Assembly","PS-88",20
"Sindh","Provincial Assembly","PS-89",36
"Sindh","Provincial Assembly","PS-9",15
"Sindh","Provincial Assembly","PS-90",20
"Sindh","Provincial Assembly","PS-91",33
"Sindh","Provincial Assembly","PS-92",41
"Sindh","Provincial Assembly","PS-93",24
"Sindh","Provincial Assembly","PS-94",27
"Sindh","Provincial Assembly","PS-95",33
"Sindh","Provincial Assembly","PS-96",36
"Sindh","Provincial Assembly","PS-97",30
"Sindh","Provincial Assembly","PS-98",24
"Sindh","Provincial Assembly","PS-99",20
"Sindh","Provincial Assembly","Womens List",94
