"province","assembly","constituency_number","count"
"KPK","National Assembly","NA-43",20
"KPK","National Assembly","NA-44",50
"KPK","National Assembly","NA-45",60
"KPK","National Assembly","NA-46",30
"KPK","National Assembly","NA-47",35
"KPK","National Assembly","NA-48",41
"KPK","National Assembly","NA-49",29
"KPK","National Assembly","NA-5",18
"KPK","National Assembly","NA-50",29
"KPK","National Assembly","NA-51",20
"KPK","National Assembly","NA-6",21
"KPK","National Assembly","NA-7",13
"KPK","National Assembly","NA-8",28
"KPK","National Assembly","NA-9",21
"KPK","National Assembly","Womens List",90
"KPK","Provincial Assembly","Minority List",59
"KPK","Provincial Assembly","PK-1",27
"KPK","Provincial Assembly","PK-10",28
"KPK","Provincial Assembly","PK-11",19
"KPK","Provincial Assembly","PK-12",17
"KPK","Provincial Assembly","PK-13",17
"KPK","Provincial Assembly","PK-14",25
"KPK","Provincial Assembly","PK-15",22
"KPK","Provincial Assembly","PK-16",12
"KPK","Provincial Assembly","PK-17",16
"KPK","Provincial Assembly","PK-18",15
"KPK","Provincial Assembly","PK-19",24
"KPK","Provincial Assembly","PK-2",17
"KPK","Provincial Assembly","PK-20",20
"KPK","Provincial Assembly","PK-21",20
"KPK","Provincial Assembly","PK-22",18
"KPK","Provincial Assembly","PK-23",24
"KPK","Provincial Assembly","PK-24",17
"KPK","Provincial Assembly","PK-25",31
"KPK","Provincial Assembly","PK-26",6
"KPK","Provincial Assembly","PK-27",13
"KPK","Provincial Assembly","PK-28",14
"KPK","Provincial Assembly","PK-29",23
"KPK","Provincial Assembly","PK-3",14
"KPK","Provincial Assembly","PK-30",25
"KPK","Provincial Assembly","PK-31",17
"KPK","Provincial Assembly","PK-32",19
"KPK","Provincial Assembly","PK-33",23
"KPK","Provincial Assembly","PK-34",30
"KPK","Provincial Assembly","PK-35",11
"KPK","Provincial Assembly","PK-36",27
"KPK","Provincial Assembly","PK-37",26
"KPK","Provincial Assembly","PK-38",30
"KPK","Provincial Assembly","PK-39",23
"KPK","Provincial Assembly","PK-4",29
"KPK","Provincial Assembly","PK-40",14
"KPK","Provincial Assembly","PK-41",10
"KPK","Provincial Assembly","PK-42",18
"KPK","Provincial Assembly","PK-43",31
"KPK","Provincial Assembly","PK-44",16
"KPK","Provincial Assembly","PK-45",18
"KPK","Provincial Assembly","PK-46",15
"KPK","Provincial Assembly","PK-47",19
"KPK","Provincial Assembly","PK-48",10
"KPK","Provincial Assembly","PK-49",19
"KPK","Provincial Assembly","PK-5",23
"KPK","Provincial Assembly","PK-50",12
"KPK","Provincial Assembly","PK-51",5
"KPK","Provincial Assembly","PK-52",22
"KPK","Provincial Assembly","PK-53",16
"KPK","Provincial Assembly","PK-54",17
"KPK","Provincial Assembly","PK-55",23
"KPK","Provincial Assembly","PK-56",24
"KPK","Provincial Assembly","PK-57",18
"KPK","Provincial Assembly","PK-58",15
"KPK","Provincial Assembly","PK-59",16
"KPK","Provincial Assembly","PK-6",25
"KPK","Provincial Assembly","PK-60",20
"KPK","Provincial Assembly","PK-61",23
"KPK","Provincial Assembly","PK-62",18
"KPK","Provincial Assembly","PK-63",18
"KPK","Provincial Assembly","PK-64",12
"KPK","Provincial Assembly","PK-65",19
"KPK","Provincial Assembly","PK-66",19
"KPK","Provincial Assembly","PK-67",16
"KPK","Provincial Assembly","PK-68",16
"KPK","Provincial Assembly","PK-69",15
"KPK","Provincial Assembly","PK-7",22
"KPK","Provincial Assembly","PK-70",17
"KPK","Provincial Assembly","PK-71",16
"KPK","Provincial Assembly","PK-72",6
"KPK","Provincial Assembly","PK-73",32
"KPK","Provincial Assembly","PK-74",18
"KPK","Provincial Assembly","PK-75",30
"KPK","Provincial Assembly","PK-76",32
"KPK","Provincial Assembly","PK-77",31
"KPK","Provincial Assembly","PK-78",29
"KPK","Provincial Assembly","PK-79",23
"KPK","Provincial Assembly","PK-8",20
"KPK","Provincial Assembly","PK-80",13
"KPK","Provincial Assembly","PK-81",26
"KPK","Provincial Assembly","PK-82",18
"KPK","Provincial Assembly","PK-83",25
"KPK","Provincial Assembly","PK-84",26
"KPK","Provincial Assembly","PK-85",21
"KPK","Provincial Assembly","PK-86",32
"KPK","Provincial Assembly","PK-87",16
"KPK","Provincial Assembly","PK-88",12
"KPK","Provincial Assembly","PK-89",24
"KPK","Provincial Assembly","PK-9",19
"KPK","Provincial Assembly","PK-90",18
"KPK","Provincial Assembly","PK-91",24
"KPK","Provincial Assembly","PK-92",22
"KPK","Provincial Assembly","PK-93",26
"KPK","Provincial Assembly","PK-94",20
"KPK","Provincial Assembly","PK-95",14
"KPK","Provincial Assembly","PK-96",19
"KPK","Provincial Assembly","PK-97",21
"KPK","Provincial Assembly","PK-98",12
"KPK","Provincial Assembly","PK-99",14
"KPK","Provincial Assembly","Womens List",177
"National","National Assembly","Minority List",215
"Punjab","National Assembly","NA-100",3
"Punjab","National Assembly","NA-101",29
"Punjab","National Assembly","NA-102",24
"Punjab","National Assembly","NA-103",18
"Punjab","National Assembly","NA-104",18
"Punjab","National Assembly","NA-105",16
"Punjab","National Assembly","NA-106",14
"Punjab","National Assembly","NA-107",14
"Punjab","National Assembly","NA-108",14
"Punjab","National Assembly","NA-109",18
"Punjab","National Assembly","NA-110",23
"Punjab","National Assembly","NA-111",15
"Punjab","National Assembly","NA-112",18
"Punjab","National Assembly","NA-113",18
"Punjab","National Assembly","NA-114",4
"Punjab","National Assembly","NA-115",18
"Punjab","National Assembly","NA-116",14
"Punjab","National Assembly","NA-117",24
"Punjab","National Assembly","NA-118",14
"Punjab","National Assembly","NA-119",11
"Punjab","National Assembly","NA-120",11
"Punjab","National Assembly","NA-121",22
"Punjab","National Assembly","NA-122",13
"Punjab","National Assembly","NA-123",23
"Punjab","National Assembly","NA-124",10
"Punjab","National Assembly","NA-125",25
"Punjab","National Assembly","NA-126",27
"Punjab","National Assembly","NA-127",4
"Punjab","National Assembly","NA-128",17
"Punjab","National Assembly","NA-129",17
"Punjab","National Assembly","NA-130",24
"Punjab","National Assembly","NA-131",23
"Punjab","National Assembly","NA-132",24
"Punjab","National Assembly","NA-133",26
"Punjab","National Assembly","NA-134",16
"Punjab","National Assembly","NA-135",14
"Punjab","National Assembly","NA-136",15
"Punjab","National Assembly","NA-137",33
