"province","assembly","constituency_number","missing_candidate_number","candidate_code"
"Sindh","Provincial Assembly","PS-98",22,"PS-98-22"
"Sindh","Provincial Assembly","PS-98",23,"PS-98-23"
"Sindh","Provincial Assembly","PS-98",24,"PS-98-24"
"Sindh","Provincial Assembly","PS-98",25,"PS-98-25"
"Sindh","Provincial Assembly","PS-98",26,"PS-98-26"
"Sindh","Provincial Assembly","PS-98",27,"PS-98-27"
"Sindh","Provincial Assembly","PS-98",29,"PS-98-29"
"Sindh","Provincial Assembly","PS-98",30,"PS-98-30"
"Sindh","Provincial Assembly","PS-98",31,"PS-98-31"
"Sindh","Provincial Assembly","PS-98",32,"PS-98-32"
"Sindh","Provincial Assembly","PS-98",33,"PS-98-33"
"Sindh","Provincial Assembly","PS-98",34,"PS-98-34"
"Sindh","Provincial Assembly","PS-99",18,"PS-99-18"
"Sindh","Provincial Assembly","PS-99",21,"PS-99-21"
"Sindh","Provincial Assembly","PS-99",22,"PS-99-22"
"Sindh","Provincial Assembly","PS-99",23,"PS-99-23"
"Sindh","Provincial Assembly","PS-99",24,"PS-99-24"
"Sindh","Provincial Assembly","PS-99",25,"PS-99-25"
"Sindh","Provincial Assembly","PS-99",26,"PS-99-26"
"Sindh","Provincial Assembly","PS-99",27,"PS-99-27"
"Sindh","Provincial Assembly","PS-99",28,"PS-99-28"
"Sindh","Provincial Assembly","PS-99",29,"PS-99-29"
"Sindh","Provincial Assembly","PS-99",30,"PS-99-30"
"Sindh","Provincial Assembly","PS-99",31,"PS-99-31"
"Sindh","Provincial Assembly","PS-99",32,"PS-99-32"
"Sindh","Provincial Assembly","PS-99",33,"PS-99-33"
"Sindh","Provincial Assembly","PS-99",34,"PS-99-34"
"Sindh","Provincial Assembly","PS-99",35,"PS-99-35"
"Sindh","Provincial Assembly","PS-99",36,"PS-99-36"
"Sindh","Provincial Assembly","PS-99",37,"PS-99-37"
"Sindh","Provincial Assembly","PS-99",38,"PS-99-38"
"Sindh","Provincial Assembly","PS-99",39,"PS-99-39"
"Sindh","Provincial Assembly","PS-99",40,"PS-99-40"
"Sindh","Provincial Assembly","Womens List",85,"Womens List-85"
"Sindh","Provincial Assembly","Womens List",87,"Womens List-87"
"Sindh","Provincial Assembly","Womens List",89,"Womens List-89"
